file	colorspace
ii001	sRGB
ii002	sRGB
ii003	sRGB
ii004	sRGB
ii005	sRGB
ii006	sRGB
ii007	sRGB
ii008	sRGB
ii009	sRGB
ii010	sRGB
ii011	sRGB
ii012	sRGB
ii013	sRGB
ii014	sRGB
ii015	sRGB
ii016	sRGB
ii017	sRGB
ii018	sRGB
ii019	sRGB
ii020	sRGB
ii021	CMYK
ii022	sRGB
ii023	sRGB
ii024	sRGB
ii025	sRGB
ii026	sRGB
ii027	sRGB
ii028	sRGB
ii029	sRGB
ii030	sRGB
ii031	sRGB
ii032	sRGB
ii033	sRGB
ii034	sRGB
ii035	sRGB
ii036	sRGB
ii037	sRGB
ii038	sRGB
ii039	sRGB
ii040	sRGB
ii041	sRGB
ii042	sRGB
ii043	sRGB
ii044	sRGB
ii045	CMYK
ii046	CMYK
ii047	sRGB
ii048	sRGB
ii049	Gray
ii050	sRGB
ii051	sRGB
ii052	sRGB
ii053	sRGB
ii054	sRGB
ii055	sRGB
ii056	sRGB
ii057	sRGB
ii058	CMYK
ii059	sRGB
ii060	sRGB
ii061	sRGB
ii062	sRGB
ii063	sRGB
ii064	sRGB
ii065	sRGB
ii066	sRGB
ii067	sRGB
ii068	sRGB
ii069	sRGB
ii070	sRGB
ii071	sRGB
ii072	sRGB
ii073	sRGB
