file	width	height
ii001	3346	4000
ii002	3556	2667
ii003	2657	3543
ii004	6146	4724
ii005	4000	2998
ii006	1772	2425
ii007	5842	7277
ii008	2998	4000
ii009	2998	4000
ii010	2802	3543
ii011	4000	2998
ii012	2800	3540
ii013	2922	4000
ii014	4000	2998
ii015	2186	2923
ii016	750	1024
ii017	1615	1040
ii018	965	604
ii019	1511	2264
ii020	462	660
ii021	6000	4000
ii022	8272	6200
ii023	3335	4000
ii024	3104	4000
ii025	4000	3103
ii026	3048	4000
ii027	1958	2717
ii028	1015	1500
ii029	1071	1715
ii030	2998	4000
ii031	2548	4000
ii032	4000	3158
ii033	4000	3218
ii034	2854	4000
ii035	2644	4000
ii036	4000	2718
ii037	7248	6056
ii038	519	640
ii039	3155	2161
ii040	15000	9051
ii041	3051	4000
ii042	4000	2998
ii043	1086	684
ii044	4000	2998
ii045	1390	1930
ii046	1380	1947
ii047	3925	3344
ii048	3791	4000
ii049	17879	12544
ii050	5702	7234
ii051	3030	4000
ii052	6200	8272
ii053	1207	1500
ii054	1053	1709
ii055	2086	3973
ii056	2534	3482
ii057	470	691
ii058	3071	4134
ii059	2542	3132
ii060	6634	9660
ii061	2949	4016
ii062	3910	2336
ii063	1895	1466
ii064	6070	4761
ii065	3044	2544
ii066	9086	5914
ii067	2271	3038
ii068	4000	2998
ii069	1727	2608
ii070	1900	949
ii071	3201	4000
ii072	2519	4000
ii073	1355	1772
