file	width	height
ii001	1171	1400
ii002	1245	933
ii003	930	1240
ii004	2151	1653
ii005	1400	1049
ii006	620	849
ii007	2045	2547
ii008	1049	1400
ii009	1049	1400
ii010	981	1240
ii011	1400	1049
ii012	980	1239
ii013	1023	1400
ii014	1400	1049
ii015	765	1023
ii016	263	358
ii017	565	364
ii018	338	211
ii019	529	792
ii020	162	231
ii021	2100	1400
ii022	2895	2170
ii023	1167	1400
ii024	1086	1400
ii025	1400	1086
ii026	1067	1400
ii027	685	951
ii028	355	525
ii029	375	600
ii030	1049	1400
ii031	892	1400
ii032	1400	1105
ii033	1400	1126
ii034	999	1400
ii035	925	1400
ii036	1400	951
ii037	2537	2120
ii038	182	224
ii039	1104	756
ii040	5250	3168
ii041	1068	1400
ii042	1400	1049
ii043	380	239
ii044	1400	1049
ii045	487	676
ii046	483	681
ii047	1374	1170
ii048	1327	1400
ii049	6258	4390
ii050	1996	2532
ii051	1061	1400
ii052	2170	2895
ii053	422	525
ii054	369	598
ii055	730	1391
ii056	887	1219
ii057	165	242
ii058	1075	1447
ii059	890	1096
ii060	2322	3381
ii061	1032	1406
ii062	1369	818
ii063	663	513
ii064	2125	1666
ii065	1065	890
ii066	3180	2070
ii067	795	1063
ii068	1400	1049
ii069	604	913
ii070	665	332
ii071	1120	1400
ii072	882	1400
ii073	474	620
